Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2024-12-17,Debt collection,Rental debt,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"ResidentCollect, Inc.",TX,78249,11175250,Closed with explanation
2019-12-18,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,"EQUIFAX, INC.",IL,605XX,3471366,Closed with explanation
2025-06-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",TX,76108,13894626,Closed with explanation
2024-03-02,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Money was not available when promised,,"Block, Inc.",OH,44212,8455756,Closed with explanation
2020-10-05,Mortgage,Conventional home mortgage,Closing on a mortgage,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33496,3883055,Closed with non-monetary relief
2021-05-05,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,"EQUIFAX, INC.",NY,132XX,4354825,Closed with explanation
2019-05-30,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"SELLING SOURCE, LLC",FL,334XX,3257934,Closed with explanation
2025-01-16,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,Experian Information Solutions Inc.,OH,44512,11580630,Closed with explanation
2025-11-13,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60438,17229071,Closed with explanation
2021-02-14,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,CA,91367,4139487,Closed with explanation
2025-08-06,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,93307,15124395,Closed with non-monetary relief
2025-01-15,Checking or savings account,Checking account,Managing an account,Problem making or receiving payments,JPMORGAN CHASE & CO.,TX,77017,11517218,Closed with explanation
2021-06-16,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,"Capio Partners, LLC",FL,33467,4464330,Closed with non-monetary relief
2021-10-09,Debt collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,ERC,MI,492XX,4794694,Closed with explanation
2022-12-08,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,"Harris & Harris, Ltd.",MD,20832,6297711,Closed with explanation
2025-10-16,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33415,16623040,Closed with explanation
2022-08-09,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,NJ,08046,5861842,Closed with explanation
2024-03-03,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,NAVY FEDERAL CREDIT UNION,CA,92028,8464983,Closed with explanation
2022-12-23,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,"Amsher Collection Services, Inc.",FL,33009,6358089,Closed with explanation
2022-12-07,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",TX,77471,6294078,Closed with explanation
2024-02-13,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,FL,32129,8339833,Closed with non-monetary relief
